marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
VOLKSWAGEN T-Cross 1.0 TSI Advance,04/2021,Málaga,24.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Plata,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:09:36.448259,ref15376037
AUDI A4 35 TFSI Advanced S tronic 110kW,10/2023,Málaga,7.000 km,Gasolina,ECO,18 meses,Automático,Berlina,5 asientos,150 cv,4 Puertas,Blanco,36.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:09:43.043674,ref15382389
MERCEDES-BENZ Clase SLK 200,02/1998,Alicante,164.325 km,Gasolina,,No,Manual,Roadster,2 asientos,136 cv,2 Puertas,Rojo,7.800 €,"ANDRADA OCASION
Profesional","Consumo medio
8,10
litros/100 km",No,2025-02-18 12:09:50.324529,ref15218490
SEAT Arona 1.0 TSI Ecomotive S&S Style 115,10/2020,Málaga,66.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,17.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
4,90
litros/100 km",Si,2025-02-18 12:09:57.312632,ref15375646
TOYOTA Corolla hybrid 125H Active,01/2022,Alicante,79.657 km,Gasolina,C,12 meses,Automático,Familiar,,98 cv,5 Puertas,Azul,22.500 €,"ANDRADA OCASION
Profesional",,No,2025-02-18 12:10:04.147957,ref15400599
SEAT Ibiza 1.0 TSI S&S Style 95,07/2019,Segovia,105.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,12.000 €,"KM 100 SEGOVIA
Profesional","Consumo medio
4,50
litros/100 km",No,2025-02-18 12:10:11.187604,ref15189754
NISSAN Qashqai 1.5dCi Tekna DCT 4x2 85kW,11/2020,Málaga,60.000 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro,23.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
4,20
litros/100 km",Si,2025-02-18 12:10:17.892856,ref15373418
BMW Serie 3 318dA Touring M Sport,04/2024,Málaga,17.000 km,Diesel,ECO,12 meses,Automático,Stationwagon,5 asientos,150 cv,5 Puertas,Negro,44.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:10:26.090010,ref15369511
FIAT Freemont 2.0 Mjt 170 CV 4x4 aut. Park Avenue,09/2012,Alicante,122.807 km,Diésel,,12 meses,Automático,Monovolumen,,170 cv,5 Puertas,Blanco,13.900 €,"ANDRADA OCASION
Profesional",,No,2025-02-18 12:10:31.270697,ref14524614
BMW X1 sDrive 18dA,01/2022,Málaga,52.000 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,30.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:10:38.343070,ref15368481
MERCEDES-BENZ Clase E 200 Berlina Aut.,05/2016,Alicante,138.350 km,Gasolina,C,12 meses,Automático,Familiar,,184 cv,4 Puertas,Negro,20.300 €,"ANDRADA OCASION
Profesional",,No,2025-02-18 12:10:44.870370,ref15071343
FIAT 500 1.0 Hybrid Dolcevita 52kW,05/2022,Málaga,64.000 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,Blanco,12.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:10:51.620981,ref15366055
VOLKSWAGEN Tiguan 2.0TDI BMT Cross 4x2 110,05/2014,Valencia,137.000 km,Diesel,C,Sí,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Negro,13.500 €,"KM AUTOS
Profesional","Consumo medio
5,30
litros/100 km",No,2025-02-18 12:10:57.805907,ref15025972
VOLVO V40 D2 Kinetic 120,01/2017,Sevilla,260.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,120 cv,5 Puertas,blanco / Metalizado,10.000 €,"AUTOCASION CABAS
Profesional","Consumo medio
3,40
litros/100 km",No,2025-02-18 12:11:03.327413,ref15412910
MERCEDES-BENZ Clase GLE 350d 4Matic Aut.,01/2018,Sevilla,70.960 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,258 cv,5 Puertas,negro,48.800 €,"AUTOCASION CABAS
Profesional",,No,2025-02-18 12:11:09.614295,ref15412893
TOYOTA C-HR 125H Advance,06/2022,Málaga,22.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Todo Terreno,5 asientos,122 cv,5 Puertas,Blanco,27.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:11:40.058787,ref15362884
BMW X3 xDrive 20dA xLine,06/2023,Málaga,28.000 km,Diesel,ECO,12 meses,Automático,Todo Terreno,5 asientos,190 cv,5 Puertas,Gris,48.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:11:48.310972,ref15352962
VOLKSWAGEN T-Cross 1.0 TSI Advance DSG7 81kW,06/2022,Málaga,49.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Naranja,22.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:11:55.434113,ref15362859
VOLVO XC40 T2 Momentum Core,11/2020,Málaga,34.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,129 cv,5 Puertas,Negro,25.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
6,30
litros/100 km",No,2025-02-18 12:12:00.958994,ref15352708
NISSAN Micra IG-T N-Desing Black 92,09/2022,Málaga,30.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,92 cv,5 Puertas,Blanco,16.300 €,"MARTINSA MOTOR
Profesional",,Si,2025-02-18 12:12:09.038661,ref15346378
NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 DCT 117kW,04/2021,Málaga,37.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,160 cv,5 Puertas,Plata,24.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
5,40
litros/100 km",Si,2025-02-18 12:12:16.217022,ref15346137
VOLVO XC40 T2 R-Design Aut.,11/2021,Málaga,25.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,129 cv,5 Puertas,Plata,30.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
6,50
litros/100 km",No,2025-02-18 12:12:21.391019,ref15337801
FIAT Panda 1.0 Gse City Live Hybrid,05/2023,Málaga,17.000 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,5 Puertas,Negro,12.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
4,20
litros/100 km",Si,2025-02-18 12:12:28.069922,ref15335290
MAZDA Mazda2 2 Hybrid 1.5 85 kW (116 CV) CVT Select,03/2023,Albacete,13.903 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina mediana o grande,,116 cv,5 Puertas,Rojo,24.990 €,"GRUPO MOTORALBA
Profesional",,No,2025-02-18 12:12:33.897168,ref12983997
FIAT 500 1.0 Hybrid Dolcevita 52kW,06/2022,Albacete,37.634 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,AZUL MARINO / Metalizado,12.999 €,"GRUPO MOTORALBA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:12:41.882905,ref15424519
SKODA Karoq 1.0 TSI Ambition DSG,02/2021,Albacete,33.851 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,19.989 €,"GRUPO MOTORALBA
Profesional","Consumo medio
5,30
litros/100 km",No,2025-02-18 12:12:49.244363,ref15311035
FORD S-Max S Max 2.0 TDCi 140kW (190CV ) PowerShift AWD Vignale,02/2019,Albacete,56.480 km,Diésel,,12 meses,Automático,Familiar,,190 cv,5 Puertas,Negro,33.990 €,"GRUPO MOTORALBA
Profesional",,No,2025-02-18 12:12:56.426833,ref14151026
MAZDA CX-3 2.0 Style+ 2WD Aut. 120,05/2016,Castellón,68.850 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,120 cv,5 Puertas,Blanco,16.900 €,"ALO WAGEN
Profesional","Consumo medio
5,80
litros/100 km",No,2025-02-18 12:13:03.446508,ref15426434
VOLKSWAGEN Touran 1.6TDI Edition 105,02/2013,Segovia,203.000 km,Diesel,B,12 meses,Manual,Monovolumen,5 asientos,105 cv,5 Puertas,Blanco,9.500 €,"KM 100 SEGOVIA
Profesional","Consumo medio
5,10
litros/100 km",No,2025-02-18 12:13:10.813062,ref15441666
BMW Serie 4 430iA Coupé,01/2021,Madrid,87.000 km,Gasolina,C,12 meses,Automático,Coupe,4 asientos,258 cv,2 Puertas,Negro,37.900 €,"AUTO SPORT MORALEJA
Profesional","Consumo medio
5,70
litros/100 km",No,2025-02-18 12:13:17.395561,ref15405416
BMW X5 xDrive 50iA,07/2016,Valladolid,74.252 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,449 cv,5 Puertas,Negro,36.999 €,"DURSAN SALAMANCA
Profesional","Consumo medio
10,40
litros/100 km",No,2025-02-18 12:13:24.396685,ref15415532
SEAT Arona 1.0 TSI S&S FR DSG7 110,07/2023,Málaga,23.000 km,Gasolina,C,18 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco,22.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:13:50.214572,ref15334646
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 70kW,05/2022,Málaga,40.000 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,95 cv,5 Puertas,Gris,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:13:58.097970,ref15328479
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,09/2023,Málaga,18.000 km,Gasolina,C,18 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,23.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:14:05.544204,ref15320380
